FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14
ЦФО;Московская область;5;806;193;115;209;405;108;26;0;0;0;0;0;0;0
ЦФО;Орловская область;3;279;48;1;240;261;191;2;1;0;24;5;64;13;14
ЦФО;Орловская область;4;165;33;1;145;154;86;1;0;0;0;0;0;0;0
ЦФО;Орловская область;5;134;28;0;133;123;86;1;0;0;0;0;0;0;0
ЦФО;Рязанская область;3;139;53;10;62;89;14;2;0;0;13;1;30;11;27
ЦФО;Рязанская область;4;102;35;0;60;79;13;2;0;0;0;0;0;0;0
ЦФО;Рязанская область;5;58;21;0;30;23;0;2;0;0;0;0;0;0;0
ЦФО;Смоленская область;3;36;5;0;0;36;30;0;0;0;1;2;7;6;2
ЦФО;Смоленская область;4;36;5;0;0;36;30;0;0;0;0;0;0;0;0
ЦФО;Смоленская область;5;36;5;0;0;36;30;0;0;0;0;0;0;0;0
ЦФО;Тамбовская область;3;483;171;16;285;388;82;11;0;0;41;15;67;22;43
ЦФО;Тамбовская область;4;333;142;15;156;243;65;2;0;0;0;0;0;0;0
ЦФО;Тамбовская область;5;191;94;15;110;133;21;0;0;0;0;0;0;0;0
ЦФО;Тверская область;3;216;74;44;59;155;100;4;1;0;32;15;71;23;23
ЦФО;Тверская область;4;120;50;40;40;76;45;0;0;0;0;0;0;0;0
ЦФО;Тверская область;5;33;13;0;4;29;21;0;0;0;0;0;0;0;0
ЦФО;Тульская область;3;317;20;2;266;274;271;11;0;0;17;9;19;11;118
ЦФО;Тульская область;4;97;20;0;62;74;64;7;0;0;0;0;0;0;0
ЦФО;Тульская область;5;19;0;0;3;3;3;3;0;0;0;0;0;0;0
ЦФО;Ярославская область;3;761;223;11;611;677;457;35;1;1;76;15;153;31;112
ЦФО;Ярославская область;4;490;119;2;405;425;361;5;0;0;0;0;0;0;0
ЦФО;Ярославская область;5;140;73;0;81;103;81;5;0;0;0;0;0;0;0
ЮФО;Астраханская область;3;493;237;20;276;343;166;80;1;1;40;2;91;19;61
ЮФО;Астраханская область;4;320;99;1;191;209;97;37;0;0;0;0;0;0;0
ЮФО;Астраханская область;5;129;25;0;59;87;43;0;0;0;0;0;0;0;0
ЮФО;Волгоградская область;3;2306;608;86;749;1000;253;988;0;0;65;29;1269;125;137
ЮФО;Волгоградская область;4;543;313;78;331;461;147;16;0;0;0;0;0;0;0
ЮФО;Волгоградская область;5;174;55;0;101;112;65;13;0;0;0;0;0;0;0
ЮФО;Краснодарский край;3;2015;752;19;1045;1505;784;81;18;1;219;58;375;90;316
ЮФО;Краснодарский край;4;1301;550;13;581;806;350;53;0;0;0;0;0;0;0
ЮФО;Краснодарский край;5;588;244;2;185;390;104;16;0;0;0;0;0;0;0
ЮФО;Республика Адыгея;3;156;47;2;0;100;75;5;0;0;15;7;31;11;26
ЮФО;Республика Адыгея;4;94;25;0;0;59;44;5;0;0;0;0;0;0;0
ЮФО;Республика Адыгея;5;71;21;0;0;45;41;5;0;0;0;0;0;0;0
ЮФО;Республика Калмыкия;3;123;7;0;88;122;0;0;0;0;3;4;29;9;14
ЮФО;Республика Калмыкия;4;75;2;0;45;45;0;0;0;0;0;0;0;0;0
ЮФО;Республика Калмыкия;5;62;0;0;39;39;0;0;0;0;0;0;0;0;0
ЮФО;Республика Крым;3;465;186;4;211;375;192;28;0;0;36;23;73;12;83
ЮФО;Республика Крым;4;253;112;4;103;175;57;14;0;0;0;0;0;0;0
ЮФО;Республика Крым;5;107;50;1;60;87;41;7;0;0;0;0;0;0;0
ЮФО;Ростовская область;3;1710;800;110;874;1314;716;66;5;5;166;46;328;71;199
ЮФО;Ростовская область;4;1170;577;110;629;975;564;39;0;0;0;0;0;0;0
ЮФО;Ростовская область;5;358;213;5;162;300;135;14;0;0;0;0;0;0;0
ЮФО;Севастополь;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ЮФО;Севастополь;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ЮФО;Севастополь;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
