FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47
ДВФО;Сахалинская область;3;26085;20723;3528;3386;205;65;97;2;0;7;16;18;0;3089;674;1628;212;0;81;89;392;13;64;30;44;11;25;9;62;0;62;26;26;0;0;0;1744;8348;2649;5699;9795;1283;8481;24;7;2;0
ДВФО;Сахалинская область;4;25038;19982;3463;3172;200;65;94;2;0;6;16;17;0;2880;644;1582;168;0;71;85;318;12;43;27;44;0;17;1;51;0;51;0;0;0;0;0;1729;7984;2625;5359;9193;1119;8050;22;2;2;0
ДВФО;Сахалинская область;5;21569;17925;3338;1767;200;65;94;2;0;6;16;17;0;1509;338;797;80;0;57;65;172;0;43;27;44;0;16;1;51;0;51;0;0;0;0;0;1723;6626;2610;4016;7590;925;6649;14;2;2;0
ДВФО;Сахалинская область;6;3469;2057;125;1405;0;0;0;0;0;0;0;0;0;1371;306;785;88;0;14;20;146;12;0;0;0;0;1;0;0;0;0;0;0;0;0;0;6;1358;15;1343;1603;194;1401;8;0;0;0
ДВФО;Сахалинская область;7;1047;741;65;214;5;0;3;0;0;1;0;1;0;209;30;46;44;0;10;4;74;1;21;3;0;11;8;8;11;0;11;26;26;0;0;0;15;364;24;340;602;164;431;2;5;0;0
ДВФО;Сахалинская область;8;650;573;54;45;1;0;0;0;0;1;0;0;0;44;1;0;34;0;8;0;0;1;15;0;0;0;1;1;2;0;2;0;0;0;0;0;14;316;24;292;288;60;223;0;5;0;0
ДВФО;Сахалинская область;9;397;168;11;169;4;0;3;0;0;0;0;1;0;165;29;46;10;0;2;4;74;0;6;3;0;11;7;7;9;0;9;26;26;0;0;0;1;48;0;48;314;104;208;2;0;0;0
ДВФО;Сахалинская область;10;381;375;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;84;49;35;0;0;0;0
ДВФО;Сахалинская область;11;206;144;0;62;0;0;0;0;0;0;0;0;0;60;0;48;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;146;0;146;58;5;50;1;2;0;0
ДВФО;Сахалинская область;12;62;0;0;62;0;0;0;0;0;0;0;0;0;60;0;48;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;58;5;50;1;2;0;0
ДВФО;Сахалинская область;13;144;144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;144;0;144;0;0;0;0;0;0;0
ДВФО;Сахалинская область;14;8597;5542;335;2831;171;64;84;1;0;3;5;14;0;2651;650;1430;123;0;58;56;326;8;48;3;39;8;24;9;11;0;4;22;22;0;0;0;72;2959;289;2670;4393;473;3905;15;0;0;0
ДВФО;Хабаровский край;3;70418;49232;8258;14775;1279;445;303;198;0;246;38;47;2;12880;1702;5204;903;0;4219;132;719;1;1598;141;763;11;441;411;1394;58;1336;259;173;45;40;1;1945;15340;4457;10883;30626;5317;20328;752;4229;0;0
ДВФО;Хабаровский край;4;63987;44369;7769;13990;1170;393;283;181;0;237;38;38;0;12278;1573;5095;810;0;4034;105;661;0;1552;125;727;0;327;299;1341;55;1286;150;80;39;31;0;1531;13387;3908;9479;28503;4959;18968;726;3850;0;0
ДВФО;Хабаровский край;5;38728;27067;5326;8232;905;361;200;159;0;122;38;25;0;6962;539;2622;519;0;2891;52;339;0;1004;59;666;0;160;132;1284;2;1282;39;32;7;0;0;276;7443;3503;3940;15275;3445;10150;538;1142;0;0
ДВФО;Хабаровский край;6;25259;17302;2443;5758;265;32;83;22;0;115;0;13;0;5316;1034;2473;291;0;1143;53;322;0;548;66;61;0;167;167;57;53;4;111;48;32;31;0;1255;5944;405;5539;13228;1514;8818;188;2708;0;0
ДВФО;Хабаровский край;7;6431;4863;489;785;109;52;20;17;0;9;0;9;2;602;129;109;93;0;185;27;58;1;46;16;36;11;114;112;53;3;50;109;93;6;9;1;414;1953;549;1404;2123;358;1360;26;379;0;0
ДВФО;Хабаровский край;8;4815;3626;267;665;104;52;18;16;0;8;0;8;2;491;125;104;83;0;100;24;54;1;41;15;7;1;105;104;29;0;29;36;34;2;0;0;305;1896;541;1355;1110;273;800;17;20;0;0
ДВФО;Хабаровский край;9;1616;1237;222;120;5;0;2;1;0;1;0;1;0;111;4;5;10;0;85;3;4;0;5;1;29;10;9;8;24;3;21;73;59;4;9;1;109;57;8;49;1013;85;560;9;359;0;0
ДВФО;Хабаровский край;10;2835;2260;141;170;54;42;11;0;0;1;0;0;0;88;20;19;3;0;39;0;7;0;4;0;2;9;21;21;6;2;4;10;6;2;1;1;353;865;397;468;167;62;104;1;0;0;0
