FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7
ПФО;Пермский край;10;19;28;25;1;1;3;7
ПФО;Пермский край;11;6;20;19;0;1;0;5
ПФО;Пермский край;12;32;25;23;1;1;2;2
ПФО;Пермский край;13;14;17;16;0;0;0;2
ПФО;Пермский край;14;27;29;29;0;0;2;5
ПФО;Пермский край;15;17;19;18;0;0;0;5
ПФО;Пермский край;16;28;17;12;1;1;1;4
ПФО;Пермский край;17;10;8;7;0;0;1;3
ПФО;Пермский край;18;31;15;13;2;1;2;2
ПФО;Пермский край;19;12;10;10;0;0;1;1
ПФО;Пермский край;20;13;6;6;0;0;3;0
ПФО;Пермский край;21;7;3;3;0;0;2;0
ПФО;Пермский край;22;15;5;5;0;0;1;0
ПФО;Пермский край;23;3;2;2;0;0;1;0
ПФО;Республика Башкортостан;3;225;85;84;1;0;1;27
ПФО;Республика Башкортостан;4;1;3;3;0;0;0;10
ПФО;Республика Башкортостан;5;1;1;1;0;0;0;10
ПФО;Республика Башкортостан;6;15;4;4;0;0;0;1
ПФО;Республика Башкортостан;7;9;1;1;0;0;0;1
ПФО;Республика Башкортостан;8;26;10;10;0;0;0;6
ПФО;Республика Башкортостан;9;17;5;5;0;0;0;5
ПФО;Республика Башкортостан;10;34;8;8;0;0;1;4
ПФО;Республика Башкортостан;11;23;2;2;0;0;0;2
ПФО;Республика Башкортостан;12;36;10;10;0;0;0;1
ПФО;Республика Башкортостан;13;22;5;5;0;0;0;1
ПФО;Республика Башкортостан;14;28;12;12;0;0;0;4
ПФО;Республика Башкортостан;15;22;8;8;0;0;0;3
ПФО;Республика Башкортостан;16;26;13;13;0;0;0;1
ПФО;Республика Башкортостан;17;13;8;7;0;0;0;1
ПФО;Республика Башкортостан;18;21;8;8;0;0;0;0
ПФО;Республика Башкортостан;19;11;3;3;0;0;0;0
ПФО;Республика Башкортостан;20;23;9;8;1;0;0;0
ПФО;Республика Башкортостан;21;12;6;5;1;0;0;0
ПФО;Республика Башкортостан;22;15;8;8;0;0;0;0
ПФО;Республика Башкортостан;23;8;3;3;0;0;0;0
