FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37
ДВФО;Сахалинская область;13;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Сахалинская область;14;711;494;62;126;5;0;3;0;0;1;0;1;0;121;30;31;34;0;10;0;15;1;20;3;0;11;8;8;11;0;11;26;26;0;0;0;15
ДВФО;Сахалинская область;15;392;187;9;125;5;0;3;0;0;1;0;1;0;120;29;31;34;0;10;0;15;1;20;3;0;0;8;8;11;0;11;26;26;0;0;0;15
ДВФО;Сахалинская область;16;319;307;53;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Хабаровский край;3;63987;44369;7769;13990;1170;393;283;181;0;237;38;38;0;12278;1573;5095;810;0;4034;105;661;0;1552;125;727;0;327;299;1341;55;1286;150;80;39;31;0;1531
ДВФО;Хабаровский край;4;6851;3233;357;2276;152;0;0;0;0;152;0;0;0;2055;117;235;8;0;1693;0;2;0;1297;96;0;0;0;0;0;0;0;0;0;0;0;0;45
ДВФО;Хабаровский край;5;13473;6918;1233;6180;232;156;30;36;0;3;0;7;0;5862;1134;3887;438;0;2;46;355;0;46;6;23;0;184;177;0;0;0;0;0;0;0;0;122
ДВФО;Хабаровский край;6;1451;44;20;270;83;0;61;0;0;22;0;0;0;65;0;43;0;0;22;0;0;0;13;0;292;0;60;60;770;0;770;0;0;0;0;0;2
ДВФО;Хабаровский край;7;42212;34174;6159;5264;703;237;192;145;0;60;38;31;0;4296;322;930;364;0;2317;59;304;0;196;23;412;0;83;62;571;55;516;150;80;39;31;0;1362
ДВФО;Хабаровский край;8;12240;9509;1877;747;100;25;23;1;0;5;37;9;0;642;53;223;45;0;227;37;57;0;69;5;25;0;62;62;569;53;516;149;79;39;31;0;1110
ДВФО;Хабаровский край;9;29972;24665;4282;4517;603;212;169;144;0;55;1;22;0;3654;269;707;319;0;2090;22;247;0;127;18;387;0;21;0;2;2;0;1;1;0;0;0;252
ДВФО;Хабаровский край;10;6431;4863;489;785;109;52;20;17;0;9;0;9;2;602;129;109;93;0;185;27;58;1;46;16;36;11;114;112;53;3;50;109;93;6;9;1;414
ДВФО;Хабаровский край;11;448;358;17;43;1;0;0;0;0;1;0;0;0;40;0;0;0;0;40;0;0;0;29;15;0;1;17;17;0;0;0;0;0;0;0;0;0
ДВФО;Хабаровский край;12;738;616;73;62;9;0;0;8;0;0;0;1;0;47;0;0;39;0;0;8;0;0;5;1;0;0;55;55;0;0;0;0;0;0;0;0;0
ДВФО;Хабаровский край;13;43;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;19;19;0;0;0;0;0;0;0;0;0
ДВФО;Хабаровский край;14;5202;3888;399;680;99;52;20;9;0;8;0;8;2;515;129;109;54;0;145;19;58;1;12;0;13;10;23;21;53;3;50;109;93;6;9;1;414
