FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
ПФО;Кировская область;14;562;55;10;25;0;61;0;2;1;1;6;5;46;0;31;21;5;1;0;0;48;44;1;1;1;83;17;131;133;;
ПФО;Кировская область;15;623,7;66,2;10,3;21,2;2;119,7;0;5;1;3;11;10;89,7;0;49,5;33;16;1;0;0;37,5;34;3;1;6;78,4;38;113,4;113;;
ПФО;Нижегородская область;3;1836;185;33;57;6;726;8;57;0;106;241;83;159;72;22;3;19;0;0;0;152;106;40;7;26;250;24;169;275;398;34
ПФО;Нижегородская область;4;1480;180;32;55;6;725;8;57;0;106;241;83;158;72;5;3;4;0;0;0;110;99;5;7;17;163;4;137;132;;
ПФО;Нижегородская область;5;86;4;1;2;0;80;1;30;0;46;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;;
ПФО;Нижегородская область;6;370;28;6;10;3;317;3;24;0;18;210;12;9;41;0;0;0;0;0;0;8;8;0;2;0;5;0;8;2;;
ПФО;Нижегородская область;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ПФО;Нижегородская область;8;78;5;1;2;0;72;1;15;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
ПФО;Нижегородская область;9;242;13;4;4;1;220;2;35;0;44;138;0;1;0;0;0;0;0;0;0;0;0;0;3;0;3;0;3;0;;
ПФО;Нижегородская область;10;113;5;0;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;29;5;24;0;6;29;3;14;26;;
ПФО;Нижегородская область;11;122;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;15;0;0;0;13;2;11;0;1;44;2;9;38;;
ПФО;Нижегородская область;12;59;16;3;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;40;1;0;0;0;0;0;0;;
ПФО;Нижегородская область;13;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;22;0;0;0;0;0;0;0;;
ПФО;Нижегородская область;14;1191;107;8;31;5;501;5;37;0;61;178;56;117;47;0;0;0;0;0;0;69;65;0;4;4;178;18;140;170;;
ПФО;Нижегородская область;15;1506;155,3;21;36;3;608,2;7;53,8;0;98,4;228,6;74;74,4;72;7;2;5;0;0;0;98,3;59,4;19,4;4,6;25;196,6;24;159,2;227,8;;
ПФО;Оренбургская область;3;1899;173;52;78;5;419;1;17;7;22;80;29;263;0;128;73;36;0;0;0;280;230;46;40;45;141;39;177;457;80;72
ПФО;Оренбургская область;4;1372;160;45;76;5;395;1;17;7;22;80;28;240;0;112;72;21;0;0;0;239;220;17;40;36;70;12;135;173;;
ПФО;Оренбургская область;5;56;7;3;4;0;35;0;8;0;22;2;0;3;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;;
ПФО;Оренбургская область;6;158;16;11;3;1;109;1;9;1;0;78;3;17;0;0;0;0;0;0;0;10;5;0;17;1;2;0;2;1;;
ПФО;Оренбургская область;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ПФО;Оренбургская область;8;24;3;1;1;0;14;0;5;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;;
ПФО;Оренбургская область;9;101;7;6;0;1;83;1;12;1;5;61;0;3;0;0;0;0;0;0;0;1;1;0;8;0;1;0;1;0;;
