FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
ПФО;Республика Мордовия;4;250;144;144;0;0;0;0;0;0;0;106;0;0;0;;;;
ПФО;Республика Мордовия;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Республика Мордовия;6;1142;1142;732;400;182;0;228;178;0;0;0;0;0;0;;;;
ПФО;Республика Мордовия;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Республика Мордовия;8;0;8489;4849;956;661;0;2979;0;250;0;0;0;0;0;;;;
ПФО;Республика Мордовия;9;8759;4614;1638;72;663;0;2313;105;799;535;3346;0;0;0;;;;
ПФО;Республика Мордовия;10;2351;2351;735;0;154;0;1462;0;0;0;0;0;0;0;;;;
ПФО;Республика Мордовия;11;3786;3786;3428;956;209;0;149;0;0;0;0;0;0;0;;;;
ПФО;Республика Мордовия;12;4452;2381;710;400;960;367;344;310;921;0;1150;0;0;0;;;;
ПФО;Республика Татарстан;3;99171;54820;28034;2677;17020;366;9400;1253;18137;9062;26214;8469,29;623;0;1639;739;45;64
ПФО;Республика Татарстан;4;6585;187;97;0;0;0;90;0;0;0;6398;0;0;0;;;;
ПФО;Республика Татарстан;5;3342;3342;2029;0;934;0;379;0;0;0;0;0;0;0;;;;
ПФО;Республика Татарстан;6;13720;9113;6322;0;1155;0;1636;909;1995;1995;2612;0;0;0;;;;
ПФО;Республика Татарстан;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Республика Татарстан;8;0;21373;11425;460;4900;18;5030;989;4031;1436;0;0;0;0;;;;
ПФО;Республика Татарстан;9;7017;7017;3489;0;1416;10;2102;46;0;0;0;0;0;0;;;;
ПФО;Республика Татарстан;10;83964;42634;20715;2677;14767;356;6796;1205;18137;9062;23193;0;0;0;;;;
ПФО;Республика Татарстан;11;4990;3307;2587;0;579;0;141;2;0;0;1683;0;0;0;;;;
ПФО;Республика Татарстан;12;3200;1862;1243;0;258;0;361;0;0;0;1338;0;0;0;;;;
ПФО;Самарская область;3;72939;53732;25845;612;18376;619;8892;711;6651;4475;12556;7903,76;7901,03;0;411;744;132;29
ПФО;Самарская область;4;2742;2018;1178;284;586;0;254;119;0;0;724;0;0;0;;;;
ПФО;Самарская область;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Самарская область;6;3556;2469;1587;0;445;409;28;0;1087;0;0;0;0;0;;;;
ПФО;Самарская область;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Самарская область;8;0;28409;10449;284;9893;619;7448;578;3195;972;0;0;0;0;;;;
ПФО;Самарская область;9;7172;4665;3783;317;404;0;478;120;2369;1532;138;0;0;0;;;;
ПФО;Самарская область;10;32122;19162;7123;284;6441;452;5146;361;3195;1856;9765;0;0;0;;;;
ПФО;Самарская область;11;30433;27020;14056;0;9885;167;2912;230;1087;1087;2326;0;0;0;;;;
ПФО;Самарская область;12;3212;2885;883;11;1646;0;356;0;0;0;327;0;0;0;;;;
ПФО;Саратовская область;3;5978;5807;2671;315;2361;0;775;50;0;0;171;0,14;0;0;51;165;9;15
ПФО;Саратовская область;4;69;69;0;0;69;0;0;0;0;0;0;0;0;0;;;;
ПФО;Саратовская область;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Саратовская область;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Саратовская область;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Саратовская область;8;0;1260;965;315;247;0;48;0;0;0;0;0;0;0;;;;
ПФО;Саратовская область;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Саратовская область;10;938;938;938;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Саратовская область;11;5040;4869;1733;315;2361;0;775;50;0;0;171;0;0;0;;;;
